Site,Site Number,Detector number,Number of days,X coordinate,Y coordinate,Number of GHS passes,1 sec gap,Woodland,Woodland Edge,Hedgerow,Treeline,Water,Grassland,Arable Farmland,Ploughed Land,Orchard,Livestock,Signs of Livestock,Stree lights,Buildings,Human Activity,Hedgerow Height,Hedgerow with trees,Livestock type,Building Type,Human activity type,Additional information,Data Collected,
High Marks Barn,39,T2,7,273935.8504,54154.38129,34,34,,,x,,,,,,,x,x,,,,Below,,Cattle,,,"Cows, bull, calves",,
High Marks Barn,40,P2,3,274451.6564,53421.53007,22,22,,,x,x,x,x,,,,x,,,,,Above,,"Sheep, cattle",,,"Hedgerow, grassland, cattle adjacent. Hedgerow tall mixed broadleaf, junction of 3 hedges. Sheep previously, cattle present.",,
High Marks Barn,41,Z1,5,274538.3409,53260.55459,24,24,,,x,x,,x,,,x,,,,,x,Above,,,,Farming,"Treeline, grasssland adjacent. Track (green lane) with cow and sheep dung on. Hedgerow junction.",,
High Marks Barn,42,P1,5,274878.573,53457.1204,73,99,,x,,x,x,x,,,,x,,,,,,,Sheep,,,"Fenceline with treeline circa 2m away. Mixed broadleaf trees (not Devon bank). Stock shelter belt. Treeline willowed beneath by livestock. Woodland edge, water, grazed grassland in adjacent area.",,
High Marks Barn,52,A1,2,272924.4444,52303.15289,26,27,,x,,,x,x,,,,,,,,,,,,,,Moved nearer boathouse.,,Lizzie
High Marks Barn,54,D2,1,272211.9185,53161.18634,18,19,,,,x,x,,,,,,,,,x,,,,,,Bad placement.,,Lizzie
High Marks Barn,55,F2,1,272947.6339,53283.42448,5,8,,,,,x,x,,,,,,,,x,Head height,,,,Residential,"Near bridge, near garden to house. Met landowner, who is content.",,
High Marks Barn,56,W1,0,272908.1811,54120.49614,0,,,x,,x,,x,,,,,,,,,,,,,,No data recorded. Bad placement.,,Lizzie
High Marks Barn,66,I2,7,272585.953,53980.49426,1,1,,,,,,x,,,,x,,,,,Below,,Sheep,,,In open field attached to sheep scratching post. Hedgerow waist height,,
High Marks Barn,67,K1,7,271645.4103,52709.38421,13,14,,,,,,,x,,,,,,,,,,,,,Middle of field. Large tree ~200m away.,,
High Marks Barn,68,S2,6,272630.3877,51080.02723,18,19,,,x,x,x,x,,,,x,x,,,,Above,Y,,,,Put out 23/08. Untouched pasture land - never ploughed. Springs in field - marshy.,,
High Marks Barn,69,H1,1,275113.2783,50653.52138,3,3,,,x,,,x,,,,x,x,,,,Above,N,Cattle,,,,,
High Marks Barn,70,L2,0,275206.7722,50507.97927,0,,,,x,,,x,,,,x,x,,,,Above,N,Cattle,,,No data recorded.,,
High Marks Barn,71,G1,0,273050.3875,52989.90598,0,,,x,,,x,x,,,,,,,,x,Head height,,,,Possible camper.,No data collected. Near bridge. Empty tent uninhabited nearby.,,
High Marks Barn,72,C1,4,275935.1266,52270.59123,2,2,,,,,,,,,,,,,,,,,,,,,,Anna
High Marks Barn,73,U1,7,275917.9286,51995.42402,156,160,,,,,,,,,,,,,,,,,,,,,,Anna
High Marks Barn,74,W2,7,275849.1368,51640.88164,14,14,,,,,,,,,,,,,,,,,,,,,,Anna
