Site,Site Number,Detector number,Survey start date,Survey end date,Number of days,X coordinate,Y coordinate,Total GHS pass,Total pass 1 sec gap,Avg pass,ave pass per night 1 sec,Woodland,Woodland Edge,Hedgerow,Treeline,Water,Grassland,Arable Farmland,Ploughed Land,Orchard,Livestock,Signs of Livestock,Stree lights,Buildings,Human Activity,Hedgerow Height,Hedgerow with trees,Livestock type,Building Type,Human activity type,Additional information,Data Collected
Buckfastleigh,109,D1,25/07/2016,30/07/2016,6,275264,66906,1,1,0.166666667,0.166666667,,,,,,,x,,,,x,,,x,Above,Yes,,,Farming,Derelict barn in eyesight but not in same field,Short
Buckfastleigh,143,K2,25/07/2016,27/07/2016,3,273670,65710,2,2,0.666666667,0.666666667,,,,x,,,,,,,,x,x,x,,,,Quarry buildings,Quarry traffic etc,Quarry,Short
Buckfastleigh,123,J1,25/07/2016,02/08/2016,8,275336,65674,4,4,0.5,0.5,,,,,,x,,,,,,,x,x,,,,Polytunnels,,Polytunnels next to field. Minimal human activity.,Y
Buckfastleigh,111,E2,25/07/2016,27/07/2016,3,273278,67580,6,6,2,2,,x,,x,x,x,,,x,x,,,x,x,,,Sheep,,Farming,"Water, grassland, orchard, sheep in adjacent field. Edge of tree/hedgerow junction. Stream Mill Leat.",Short
Buckfastleigh,139,C2,25/07/2016,30/07/2016,6,273306,65157,9,9,1.5,1.5,,x,x,,,x,,,,,,x,,x,,Yes,,,"Walkers, vehicles on adjacent road",Buildings 50m away. Area asked to position detector impenetrable (brambles) so attached microphone to perimeter fence. Trees were less towards middle of wooded site with a clearer area only about 1m high (under the tree canopy).,Short
Buckfastleigh,101,R2,25/07/2016,29/07/2016,5,274837,67704,10,12,2,2.4,,,x,,x,x,,,,,,,,x,,,,,Occasional vehicles,Beside bridge crossing A38,Short
Buckfastleigh,120,U2,25/07/2016,29/07/2016,5,275544,64764,10,10,2,2,,,,x,,x,,,,,x,,,,Above,Yes,Sheep,,,50m to main road.,Short
Buckfastleigh,160,Z2,25/07/2016,02/08/2016,7,274823,67296,12,12,1.714285714,1.714285714,,,,x,,,,,,,,,,x,,,,,Traffic,Roadside,Y
Buckfastleigh,116,B1,25/07/2016,26/07/2016,2,272552,65915,17,18,8.5,9,x,x,,x,,,,,,x,,,,,Above,,Sheep and cattle,,,Mini woodland edge. Small copse behind. Cattle adjacent.,Short
Buckfastleigh,136,V1,25/07/2016,31/07/2016,7,273247,67502,17,17,2.428571429,2.428571429,,x,x,,x,x,,,,x,x,,x,x,,,Sheep,,Farming,"Sheep in adjacent field. Water, a few houses in adjacent field",Y
Buckfastleigh,117,P2,25/07/2016,27/07/2016,3,272512,65971,19,19,6.333333333,6.333333333,,x,x,,,x,,,,x,x,,,,Above,Yes,Sheep and cattle,,,Cattle adjacent.,Short
Buckfastleigh,104,K1,25/07/2016,29/07/2016,5,275180,67685,20,20,4,4,,,x,,,x,,,x,x,x,,x,,Above,,Sheep,Cottage,,"Hedgerow large and thick, near garden",Short
Buckfastleigh,103,L1,25/07/2016,29/07/2016,5,275330,67820,24,24,4.8,4.8,,,x,,,x,,,,x,x,,,,,,Sheep,,,Beside overgrown lane,Short
Buckfastleigh,126,V2,25/07/2016,31/07/2016,7,275016,65535,24,25,3.428571429,3.571428571,x,x,x,x,,,,,,x,x,,,,,Yes,Cattle,,,Cattle in adjacent field. Signs of livestock in detector field.,Y
Buckfastleigh,134,E1,25/07/2016,26/07/2016,2,273552,66254,26,48,13,24,,,x,x,x,,,,,,,x,x,x,,,,"Housing estate, industrial turnery","Cars, pedestrians",,Short
Buckfastleigh,127,W2,25/07/2016,01/07/2016,6,275035,65348,26,27,4.333333333,4.5,,x,x,x,,x,,x,,x,,,,,Above,,Cattle,,,"Hedge: various grasses, holly, brambles. Cattle in adjacent field. Sound of A38. Detector just set to june",Y
Buckfastleigh,114,O2,25/07/2016,27/07/2016,3,273021,65087,28,31,9.333333333,10.33333333,,,x,,,,x,,,,,,,,Head height,,,,,Could not place detector in required location as field planted with head height maize. Detector located on edge of field.,Short
Buckfastleigh,108,X1,25/07/2016,29/07/2016,5,274995,66607,28,30,5.6,6,,,x,,,x,,,,x,,,,,,,Cattle,,,High point overlooking Buckfastleigh. At hedgerow junction. Cattle pasture all around.,Short
Buckfastleigh,118,I1,25/07/2016,02/08/2016,7,272668,66075,29,29,4.142857143,4.142857143,,x,x,,,x,,,,x,x,,,,Above,Yes,Sheep and cattle,,,Cattle adjacent.,Y
Buckfastleigh,113,H1,25/07/2016,26/07/2016,2,274260,66903,30,80,15,40,,,,x,,,,,,,,,,x,Above,,,,Possibly canoeists on river - none when box was set,,Short
Buckfastleigh,140,G2,25/07/2016,26/07/2016,2,272829,64784,34,43,17,21.5,,x,x,x,x,x,,,,,x,,,x,Above,Yes,,,,Water about 200yds away. Dung present. 150yds from quiet lane.,Short
Buckfastleigh,137,P1,25/07/2016,28/07/2016,4,273300,66953,34,34,8.5,8.5,,,x,x,,x,,,,,x,,,x,Above,Yes,,,Equestrian small holding (in adjacent field),"1/3 way down hedgerow near large ash tree. Adjacent tree lined hedge beside road. Sheep in adjacent field, horses in another (small equestrian small holding)",Short
Buckfastleigh,132,U1,25/07/2016,29/07/2016,5,274939,65506,37,37,7.4,7.4,x,,x,,,x,,,,x,,,,x,,Yes,Cattle,,Dog walkers,Cattle in adjacent field.,Short
Buckfastleigh,119,T2,25/07/2016,30/07/2016,6,275665,64892,43,44,7.166666667,7.333333333,,,x,,,x,x,,,,x,,,,Above,Yes,,,,"Farmhouse, sheds/barns 250m below. Very windy blowing directly in mic. High site overlooking valley. Nearby organic manure heap. Microphone cable detached very easily when collected.",Short
Buckfastleigh,102,M1,25/07/2016,28/07/2016,4,274915,67716,49,49,12.25,12.25,,,x,,x,x,,,x,,,,x,x,,,,Farm/holiday centre,"Tourism, A38 traffic",,Short
Buckfastleigh,141,S2,25/07/2016,30/07/2016,6,272579,65239,52,53,8.666666667,8.833333333,,,x,,,,x,,,,,,,x,Above,No,,,Walkers,"Hedge on both sides. Trees further down. Quiet unmetalled road nearby. Detector located slightly further north than on map. Approx location marked. When collected, micro was coiled on top of box, no bamboo cane. Bracken along hedgerow knocked down.",Short
Buckfastleigh,124,A2,25/07/2016,31/07/2016,7,275351,65772,100,104,14.28571429,14.85714286,,,x,,,x,,,,,,,x,x,Above,,,Polytunnels,Minimal traffic,Polytunnels in adjacent area. Corner of a hedgerow. Lane on other side of hedge.,Y
Buckfastleigh,106,I2,25/07/2016,29/07/2016,5,275252,66246,169,179,33.8,35.8,,,x,,,,x,,,,,,,,Above,,,,,"Arable field on one side, pasture on other. Tall thick hedges on either side of green lane (bridleway).",Short
Buckfastleigh,122,R1,25/07/2016,31/07/2016,7,275167,65731,859,1138,122.7142857,162.5714286,x,x,,x,x,x,,,,,,,x,x,,,,,"Traffic, some walkers.",Sewage works opposite on other side of river. ,Y
Buckfastleigh,138,T1,25/07/2016,29/07/2016,5,273420,65178,1008,1731,201.6,346.2,,,,x,x,,,,,,,,,,,,,,,,Short
