Site,Site Number,Detector number,Number of days,X coordinate,Y coordinate,Total GHS pass,Total pass 1 sec gap,Avg pass,ave pass per night 1 sec,Woodland,Woodland Edge,Hedgerow,Treeline,Water,Grassland,Arable Farmland,Ploughed Land,Orchard,Livestock,Signs of Livestock,Stree lights,Buildings,Human Activity,Hedgerow Height,Hedgerow with trees,Livestock type,Building Type,Human activity type,Additional information,Data Collected
Buckfastleigh,23,R1,6,272209.4509,64979.39891,31,31,5.166666667,5.166666667,,,x,,,x,x,,,,,,x,x,Above,,,Barn,,Hedge junction,
Buckfastleigh,24,A1,1,271564.9246,65053.48239,1,1,1,1,,x,,x,x,x,x,,,,,,,,,,,,,Surrounded by arable. Treeline nearby with stream at bottom. On a steep grassy hill with vegetation e.g. gorse.,
Buckfastleigh,28,E2,7,271434.3965,65047.48515,4,4,0.571428571,0.571428571,,,,,,,x,,,,,,,,,,,,,"Moved slightly but still in same field. 8ft high maize, cable not long enough to reach top of maize so put as high as possible.",
Buckfastleigh,29,F2,6,274001.764,65153.49509,0,0,0,0,,,x,,,x,,,,,,,,,Above,Yes,,,,"When collected, microphone was loose on ground, perhaps disturbed by an animal.",
Buckfastleigh,30,H1,6,273845.772,65105.49296,2,2,0.333333333,0.333333333,,,,,,x,,,,,,,,,,,,,Farming,Situated 100m into centre of grass field. Almost on top of a hill.,
Buckfastleigh,32,W1,0,274246.5923,68284.02269,0,0,,,,x,x,x,,,x,,,,x,,x,,,,Cattle,House,Farming,"No data recorded. Cows had been grazing in field, not present now. 1 big house in the next field. Tractor parked at bottom of field. Location near a main road but next to quiet woods and field.",
Buckfastleigh,33,V2,8,274455.6135,67887.14689,0,0,0,0,,,x,,,,x,,,,x,,,,,,,,,"Spoke to farmer who was very helpful regarding other 2 bat boxes, but did not want this one put in this field as he has young calves and cows in it. Respected his wishes - box wasn't used.",
Buckfastleigh,36,E1,3,274007.221,68740.20936,25,25,8.333333333,8.333333333,,,x,x,,x,,,,x,,,x,,Below,Yes,Sheep,Stables,,Moved. Sheep in adjacent field. Buildings some distance from detector. Appears detector should have been in field but could not find entrance to field also apparently should not have been any livestock in field but were sheep so placed on edge.,
Buckfastleigh,37,M2,2,274081.3045,68683.98529,53,56,26.5,28,,x,x,x,,x,,,,,x,,x,,Below,Yes,,"Stables, house",,Moved. Horses in stables some distance away. House within 300yds.,
Buckfastleigh,39,O1,0,274528.8874,68516.68759,0,0,,,,,,,,,x,x,,,x,,x,,,,Cattle,Residential,Farming,No data recorded. Farmer who worked knew nothing about the bat survey and I think it would be beneficial for them to be aware as they may have livestock etc on the land),
Buckfastleigh,40,S1,0,274243.4768,68672.92569,0,0,,,,x,x,x,,x,,,,,,,,,Below,Yes,,,,No data recorded.,
Buckfastleigh,41,P1,7,275617.4295,68104.15725,3,3,0.428571429,0.428571429,,,x,,,,,x,,,,,,,Head height,,,,,Hedge recently cut. Photos sent to Ed.,
Buckfastleigh,42,L1,7,275660.7551,68260.26173,1,1,0.142857143,0.142857143,,,,,,,,x,,,,,x,,,,,Detached housing,,Stubble field. Images sent to Ed.,
Buckfastleigh,47,A2,7,275669.0233,67893.15162,2,2,0.285714286,0.285714286,,,,,,,x,,,,,,x,x,,,,Farm buildings,,Stubble field. Farm buildings on perimeter. Field has water supply - ditch. Images sent to Ed.,
Buckfastleigh,48,N2,1,276514.3247,67695.24289,2,2,2,2,,,x,,,x,x,,,,,,,,Above,,,,,A small number of horses over 200m away.,
Buckfastleigh,49,F1,7,276600.6562,67690.12761,3,3,0.428571429,0.428571429,,,,,,,x,,,,,,,,,,,,,"Maize, above head height. Microphone had fallen on collection but was still pointing up.",
Buckfastleigh,50,Z2,7,276650.3902,67140.96616,11,11,1.571428571,1.571428571,,,x,,,,x,,,,x,,,,Above,,Cattle,,,Could not access gate of field so placed 20m in farm south banking????,
Buckfastleigh,51,K1,1,275586.7137,67215.28248,8,17,8,17,x,x,x,x,x,,,,,x,x,,x,x,Head height,Yes,Horse,Detached housing,Walkers,Hedgerow junction. Images sent to Ed.,
Buckfastleigh,55,K2,5,276104.6006,64693.57317,17,19,3.4,3.8,,,x,,,x,,,,,,,,,Above,No,,,,Hay,
Buckfastleigh,57,N1,0,276830.8656,64483.66997,0,0,,,,,x,,,x,,,,x,x,,,,Above,Yes,Cattle,,,No data recorded.,
Buckfastleigh,58,G2,8,276155.4007,64627.46248,6,6,0.75,0.75,,,,,,x,,,,,,,,,,,,,,,
Buckfastleigh,62,W2,7,276880.0782,64370.95725,5,5,0.714285714,0.714285714,,,x,,,x,,,,x,x,,,,Above,Yes,Cattle,,,,
Buckfastleigh,63,V1,4,276372.0772,65127.24376,9,9,2.25,2.25,,,x,,,,x,x,,,,,x,,Above,No,,Domestic dwellings,,,
Buckfastleigh,64,A3,6,276440.3398,64970.08094,1,1,0.166666667,0.166666667,,,x,,,,x,x,,,,,x,,Above,No,,Domestic dwellings,,,
Buckfastleigh,68,B1,2,273208.213,64168.79994,9,9,4.5,4.5,,,,,,x,x,,,,,,,,,,,,,Maize.,
Buckfastleigh,69,I1,8,276181.859,64944.96312,1,1,0.125,0.125,,,,,,,x,x,,,,,,,,,,,,Arable field which had been harvested/ploughed,
Buckfastleigh,70,U2,8,275859.0667,64738.5877,30,30,3.75,3.75,,,,,,,x,x,,,,,,,,,,,,Arable field which had been harvested/ploughed,
Buckfastleigh,71,T2,8,276355.5848,64722.73031,9,9,1.125,1.125,,,,,,x,,,,x,x,,,,,,"Sheep, cattle",,,,
Buckfastleigh,72,I2,5,272652.5869,64470.42555,3,3,0.6,0.6,,x,x,,,x,,,,x,x,,,,,,Cattle,,,Mike DWT. Evidence of recent cattle activity. When collected had been disturbed by cattle (microphone pulled out but didn't look too badly damaged (microphone a bit chewed though),
